artist|cleaned genre|original genre
MAROON 5|rock|rock
JUICE WRLD|hip-hop|hip-hop
POST MALONE|hip-hop|hip-hop
LIL BABY|hip-hop|hip-hop
LADY GAGA & BRADLEY COOPER|soundtrack|soundtrack
TRAVIS SCOTT|hip-hop|hip-hop
5 SECONDS OF SUMMER|rock|pop rock
MARSHMELLO|electronic|dance
CARDI B, BAD BUNNY & J BALVIN|hip-hop|hip-hop
6IX9INE|hip-hop|hip-hop
DRAKE|hip-hop|hip-hop
KHALID|pop|pop
IMAGINE DRAGONS|rock|indie
TYGA|hip-hop|hip-hop
ELLA MAI|rnb / soul|rnb
KANYE WEST|hip-hop|hip-hop
HALSEY|pop|pop
BENNY BLANCO|pop|pop
SELENA GOMEZ|pop|pop
ARIANA GRANDE|pop|pop
LIL WAYNE|hip-hop|rap
SHECK WES|hip-hop|hip-hop
LIL BABY|hip-hop|hip-hop
YG|hip-hop|hip-hop
LIL BABY|hip-hop|hip-hop
DJ SNAKE|hip-hop|trap
DJ KHALED|hip-hop|hip-hop
TAYLOR SWIFT|country / folk|country
BEBE REXHA|pop|pop
PANIC! AT THE DISCO|rock|rock
LADY GAGA|pop|pop
XXXTENTACION|hip-hop|hip-hop
LOVELYTHEBAND|rock|alternative
LAUV|pop|indie pop
BEBE REXHA|pop|pop
EMINEM|hip-hop|rap
ZEDD|electronic|electronic
GUCCI MANE|hip-hop|hip-hop
BAZZI|rnb / soul|rnb
FLORIDA GEORGIA LINE|country / folk|country
DAN + SHAY|country / folk|country
LIL PEEP & XXXTENTACION|emo|emo
LUKE COMBS|country / folk|country
CARDI B|hip-hop|hip-hop
BRYCE VINE|hip-hop|hip-hop
LIL DUVAL|hip-hop|hip-hop
RUSSELL DICKERSON|country / folk|country
TIESTO|electronic|trance
LIL UZI VERT|hip-hop|hip-hop
KANE BROWN|country / folk|country
COLE SWINDELL|country / folk|country
ERIC CHURCH|country / folk|country
OLD DOMINION|country / folk|country
NF|hip-hop|hip-hop
MITCHELL TENPENNY|pop|pop
LAUREN DAIGLE|pop|pop
KODAK BLACK|hip-hop|rap
MEEK MILL|hip-hop|hip-hop
KHALID|pop|pop
WEEZER|rock|rock
TWENTY ONE PILOTS|electronic|electronic
SHAWN MENDES|pop|pop
CALVIN HARRIS|electronic|electronic
CHARLIE PUTH|pop|pop
FRENCH MONTANA|hip-hop|hip-hop
QUEEN NAIJA|hip-hop|hip-hop
JIMMIE ALLEN|pop|under 2000 listeners
QUAVO|hip-hop|rap
CHRIS YOUNG|country / folk|country
YELLA BEEZY|trap rap|trap rap
DANIEL CAESAR|rnb / soul|rnb
BRADLEY COOPER|rock|rock
FLIPP DINERO|hip-hop|trap
CHRIS JANSON|country / folk|country
LUKE BRYAN|country / folk|country
LIL MOSEY|hip-hop|cloud rap
MACHINE GUN KELLY|hip-hop|hip-hop
AVRIL LAVIGNE|pop|pop
JASON ALDEAN|country / folk|country
ED SHEERAN|acoustic|acoustic
NICKI MINAJ|hip-hop|hip-hop
LABRINTH|electronic|electronic
THE CHAINSMOKERS|electronic|electronic
THOMAS RHETT|country / folk|country
DYLAN SCOTT|country / folk|country
MAC MILLER|hip-hop|hip-hop
KHALID|pop|pop
PARDISON FONTAINE|hip-hop|hip-hop
KYGO|electronic|electronic
MAREN MORRIS|country / folk|country
THE CARTERS|hip-hop|hip-hop
WIZ KHALIFA|hip-hop|hip-hop
CLEAN BANDIT|electronic|electronic
OZUNA|reggaeton|reggaeton
6LACK|rnb / soul|rnb
BRETT YOUNG|country / folk|country
CARRIE UNDERWOOD|country / folk|country
BTS|pop|k-pop
CHILDISH GAMBINO|hip-hop|hip-hop
SILK CITY|pop|pop
MIGOS|hip-hop|hip-hop
EMINEM|hip-hop|rap
YOUNGBOY NEVER BROKE AGAIN|hip-hop|rap
YOUNG THUG|hip-hop|hip-hop
G-EAZY|hip-hop|hip-hop
MARSHMELLO|electronic|dance
CAMILA CABELLO|pop|pop
CALVIN HARRIS|electronic|electronic
KENNY CHESNEY|country / folk|country
OZUNA|reggaeton|reggaeton
ZEDD|electronic|electronic
CIARA|rnb / soul|rnb
TRIPPIE REDD|hip-hop|hip-hop
BACKSTREET BOYS|pop|pop
SHAWN MENDES|pop|pop
MORGAN EVANS|country / folk|country
JANET|swedish|swedish
ALESSIA CARA|pop|pop
CHRIS LANE|country / folk|country
J. COLE|hip-hop|hip-hop
JASON MRAZ|country / folk|singer-songwriter
DENNIS LLOYD|rock|indie
H.E.R.|rnb / soul|rnb
MORGAN WALLEN|country / folk|country
JAKE OWEN|country / folk|country
KEITH URBAN|country / folk|country
BLOCBOY JB|memphis|memphis
DEMI LOVATO|pop|pop
FOSTER THE PEOPLE|rock|indie
TK KRAVITZ|hip-hop|rap
LOGIC|hip-hop|hip-hop
LIL DICKY|hip-hop|hip-hop
A$AP ROCKY|hip-hop|hip-hop
KHALID|pop|pop
THE WEEKND|rnb / soul|rnb
KANYE WEST|hip-hop|hip-hop
MARTIN GARRIX|electronic|house
NICKY JAM|reggaeton|reggaeton
CHANCE THE RAPPER|hip-hop|hip-hop
BILLIE EILISH|pop|pop
DAVID LEE MURPHY|country / folk|country
BAD WOLVES|rock|groove metal
FUTURE|hip-hop|hip-hop
LIL PUMP|hip-hop|hip-hop
IGGY AZALEA|hip-hop|hip-hop
SAM HUNT|country / folk|country
FAMOUS DEX|drill|drill
REIK|pop|latin pop
BLAKE SHELTON|country / folk|country
RICH THE KID|hip-hop|hip-hop
DUA LIPA|pop|pop
2 CHAINZ|hip-hop|hip-hop
LIL SKIES|hip-hop|hip-hop
RAE SREMMURD|hip-hop|hip-hop
BILLIE EILISH|pop|pop
DIERKS BENTLEY|country / folk|country
KYGO|electronic|electronic
BLACKPINK|pop|k-pop
THE WEEKND|rnb / soul|rnb
DIPLO, FRENCH MONTANA & LIL PUMP|electronic|electronic
EL CHOMBO|rock|brutal death metal
KIDS SEE GHOSTS|hip-hop|hip-hop
NAS|hip-hop|hip-hop
SUGARLAND|country / folk|country
JORDAN DAVIS|rock|rock
BRUNO MARS|pop|pop
GORILLAZ|rock|alternative
PLAYBOI CARTI|hip-hop|hip-hop
KENDRICK LAMAR & SZA|kendrick lamar|kendrick lamar
OFFSET|ambient|ambient
DADDY YANKEE|reggaeton|reggaeton
PUSHA T|hip-hop|hip-hop
JAY ROCK|hip-hop|hip-hop
JENNIFER LOPEZ|pop|pop
DARIUS RUCKER|country / folk|country
LOGIC|hip-hop|hip-hop
KEVIN GATES|hip-hop|hip-hop
KRIS WU|chinese|chinese
PHARRELL WILLIAMS|hip-hop|hip-hop
NAV|rock|black metal
MEGHAN TRAINOR|pop|pop
BHAD BHABIE|hip-hop|hip-hop
TANK|rock|heavy metal
JUSTIN TIMBERLAKE|pop|pop
MASON RAMSEY|country / folk|country
AVICII|electronic|house
PORTUGAL. THE MAN|experimental|experimental
BRETT ELDREDGE|country / folk|country
KEALA SETTLE|soundtrack|soundtrack
RAE SREMMURD|hip-hop|hip-hop
MAX|pop|j-pop
G-EAZY|hip-hop|hip-hop
ZAYN|pop|pop
SWAE LEE|hip-hop|hip-hop
CARDI B|hip-hop|hip-hop
HIGH VALLEY|seen live|seen live
SZA|rnb / soul|soul
SCOTTY McCREERY|country / folk|country
CHRIS STAPLETON|country / folk|country
DEVIN DAWSON|country / folk|country
ALICE MERTON|rock|indie
2 CHAINZ|hip-hop|hip-hop
N*E*R*D|hip-hop|hip-hop
CHRIS BROWN|rnb / soul|rnb
TYLER, THE CREATOR|hip-hop|hip-hop
LUIS FONSI|pop|pop
OZUNA|reggaeton|reggaeton
P!NK|pop|pop
LIL YACHTY|hip-hop|trap
KENDRICK LAMAR|hip-hop|hip-hop
SELENA GOMEZ|pop|pop
MIGOS|hip-hop|hip-hop
LIL XAN|hip-hop|cloud rap
BLAC YOUNGSTA|blac youngsta|blac youngsta
YBN NAHMIR|hip-hop|hip-hop
LIN-MANUEL MIRANDA|hip-hop|hip-hop
MIGUEL|rnb / soul|rnb
JACQUEES|rnb / soul|rnb
A$AP FERG|hip-hop|hip-hop
SCHOOLBOY Q|hip-hop|hip-hop
MACKLEMORE|hip-hop|hip-hop
6IX9INE|hip-hop|hip-hop
JOYNER LUCAS|hip-hop|hip-hop
SOB x RBE|hip-hop|hip-hop
MALUMA|mierda|mierda
JHENE AIKO|rnb / soul|rnb
WALKER HAYES|country / folk|country
KHALID|pop|pop
BECKY G|pop|pop
JANELLE MONAE|rnb / soul|soul
PLIES|hip-hop|rap
SAM SMITH|rnb / soul|soul
GUCCI MANE|hip-hop|hip-hop
HAILEE STEINFELD|pop|pop
KENDRICK LAMAR|hip-hop|hip-hop
KELSEA BALLERINI|country / folk|country
LIAM PAYNE|pop|pop
WALK THE MOON|rock|indie rock
NATTI NATASHA|pop|pop
ZAC EFRON|pop|pop
EASTON CORBIN|country / folk|country
SOFI TUKKER|electronic|electronic
J BALVIN & WILLY WILLIAM|pop|pop
21 SAVAGE|hip-hop|trap
LANCO|pop|pop
QUAVO|hip-hop|rap
HUGH JACKMAN|actors|actors
LOREN ALLRED|soundtrack|soundtrack
MARSHMELLO|electronic|dance
TROYE SIVAN|pop|pop
DAN & SHAY|country / folk|country
FARRUKO|reggaeton|reggaeton
ENRIQUE IGLESIAS|pop|pop
LUIS FONSI|pop|pop
BRUNO MARS|pop|pop
NIALL HORAN|pop|pop
MACHINE GUN KELLY|hip-hop|hip-hop
YO GOTTI|hip-hop|rap
MARIAH CAREY|pop|pop
BRENDA LEE|pop|oldies
ANDY WILLIAMS|pop|oldies
NAT KING COLE|jazz|jazz
BURL IVES|country / folk|folk
TAY-K|hip-hop|hip-hop
HUNCHO JACK|hip-hop|trap
WHAM!|pop|80s
JOSE FELICIANO|latin|latin
BOBBY HELMS|country / folk|country
ADDISON AGEN|country / folk|folk
CHLOE KOHANSKI|rock|rock
BIG SEAN & METRO BOOMIN|hip-hop|rap
MIGOS|hip-hop|hip-hop
21 SAVAGE, OFFSET & METRO BOOMIN|hip-hop|hip-hop
CALVIN HARRIS|electronic|electronic
KELLY CLARKSON|pop|pop
GARTH BROOKS|country / folk|country
ROMEO SANTOS|bachata|bachata
KESHA|pop|pop
LIAM PAYNE|pop|pop
BLACKBEAR|electronic|electronic
JAKE PAUL|autism|autism
SHAKIRA|pop|pop
LIL PEEP|hip-hop|cloud rap
CARLY PEARCE|country / folk|country
TIM McGRAW & FAITH HILL|country / folk|country
THE CHAINSMOKERS & COLDPLAY|electronic|electronic
GOLDLINK|electronic|electronic
FUTURE & YOUNG THUG|hip-hop|hip-hop
21 SAVAGE & METRO BOOMIN|hip-hop|hip-hop
JON PARDI|country / folk|country
JACQUEES|rnb / soul|rnb
QUALITY CONTROL|hip-hop|hip-hop
KIP MOORE|country / folk|country
WISIN|reggaeton|reggaeton
JAMES ARTHUR|pop|pop
CHEAT CODES|pop|pop
DUSTIN LYNCH|country / folk|country
BILLY CURRINGTON|country / folk|country
LIN-MANUEL MIRANDA|hip-hop|hip-hop
A BOOGIE WIT DA HOODIE|hip-hop|hip-hop
BROTHERS OSBORNE|country / folk|country
ZEDD & ALESSIA CARA|electronic|electronic
MALUMA|mierda|mierda
LOUIS TOMLINSON|pop|pop
THE REVIVALISTS|rock|rock
LORDE|pop|pop
MIDLAND|deep house|deep house
METRO BOOMIN|hip-hop|hip-hop
KATY PERRY|pop|pop
HAILEE STEINFELD|pop|pop
JUSTIN MOORE|country / folk|country
DEJ LOAF|hip-hop|hip-hop
KYGO|electronic|electronic
FIFTH HARMONY|pop|pop
YFN LUCCI|hip-hop|hip-hop
LADY ANTEBELLUM|country / folk|country
DAVID GUETTA|electronic|house
MILEY CYRUS|pop|pop
RICEGUM|youtube|youtube
RAE SREMMURD|hip-hop|hip-hop
MAJOR LAZER|seen live|seen live
TEE GRIZZLEY|hip-hop|rap
NICKY JAM|reggaeton|reggaeton
JULIA MICHAELS|pop|pop
CHINA ANNE McCLAIN|disney|disney
SOFIA CARSON|pop|pop
AYO & TEO|hip-hop|hip-hop
JASON DERULO|rnb / soul|rnb
LINKIN PARK|rock|rock
RASCAL FLATTS|country / folk|country
JAY-Z|hip-hop|hip-hop
KYLE|hip-hop|hip-hop
JAKE PAUL|autism|autism
AJR|pop|indie pop
ZEDD|electronic|electronic
HARRY STYLES|rock|rock
RUSS|hip-hop|rap
DJ KHALED|hip-hop|hip-hop
2 CHAINZ|hip-hop|hip-hop
ZAC BROWN BAND|country / folk|country
TREY SONGZ|rnb / soul|rnb
JOSH TURNER|country / folk|country
MARTIN GARRIX & DUA LIPA|electronic|electronic
RAG'N'BONE MAN|rnb / soul|soul
BRYSON TILLER|rnb / soul|rnb
MARTIN GARRIX|electronic|house
CHRIS BLUE|rnb / soul|soul
LEE BRICE|country / folk|country
RIHANNA|pop|pop
BIG SEAN|hip-hop|hip-hop
BRANTLEY GILBERT|country / folk|country
G-EAZY|hip-hop|hip-hop
FLO RIDA|hip-hop|hip-hop
LORD HURON|country / folk|folk
MARIAN HILL|electronic|electronic
KYGO|electronic|electronic
STARLEY|electronic|dance
DWAYNE JOHNSON|disney|disney
LANA DEL REY|pop|female vocalists
AULI'I CRAVALHO|disney|disney
PARAMORE|rock|rock
NICKI MINAJ|hip-hop|hip-hop
TRAIN|rock|rock
LAUREN ALAINA|country / folk|country
MICHAEL RAY|country / folk|country
ADELE|rnb / soul|soul
MACHINE GUN KELLY|hip-hop|hip-hop
MIRANDA LAMBERT|country / folk|country
NOAH CYRUS|pop|pop
RICK ROSS|hip-hop|hip-hop
AMINE|rnb / soul|rnb
LITTLE BIG TOWN|country / folk|country
NICKI MINAJ & LIL WAYNE|hip-hop|hip-hop
FRANK OCEAN|rnb / soul|rnb
BRAD PAISLEY|country / folk|country
PNB ROCK|hip-hop|hip-hop
JON BELLION|electronic|electronic
GUCCI MANE & NICKI MINAJ|hip-hop|hip-hop
JOHN LEGEND|rnb / soul|soul
PARTYNEXTDOOR|rnb / soul|rnb
D.R.A.M.|hip-hop|hip-hop
HEY VIOLET|rock|rock
CALUM SCOTT|pop|pop
HAILEE STEINFELD & GREY|epic|epic
NICK JONAS|pop|pop
SIA|pop|female vocalists
KALEO|seen live|seen live
FITZ AND THE TANTRUMS|rnb / soul|soul
ARIANA GRANDE|pop|pop
SAGE THE GEMINI|hip-hop|hip-hop
MISSY ELLIOTT|hip-hop|hip-hop
GRANGER SMITH|country / folk|country
ANDY GRAMMER|pop|pop
ROB $TONE|hip-hop|hip-hop
JOHN MAYER|country / folk|singer-songwriter
FLUME|electronic|electronic
UGLY GOD|hip-hop|hip-hop
WALE|hip-hop|hip-hop
MARTIN GARRIX|electronic|house
STEVE AOKI & LOUIS TOMLINSON|pop|pop
YOUNG M.A.|hip-hop|hip-hop
GNASH|pop|pop
X AMBASSADORS|rock|indie
DJ ESCO|hip-hop|hip-hop
TIM McGRAW|country / folk|country
PENTATONIX|a cappella|a cappella
GEORGE MICHAEL|pop|pop
NICKI MINAJ|hip-hop|hip-hop
OLIVIA O'BRIEN|pop|pop
SUNDANCE HEAD|american idol|american idol
DESIIGNER|hip-hop|hip-hop
KEHLANI|rnb / soul|rnb
FRENSHIP|electronic|electronic
KIIARA|pop|pop
LIL WAYNE|hip-hop|rap
TORY LANEZ|hip-hop|hip-hop
ZARA LARSSON|pop|pop
BRITNEY SPEARS|pop|pop
PIKOTARO|pop|j-pop
PITBULL|hip-hop|hip-hop
LEONARD COHEN|country / folk|singer-songwriter
A TRIBE CALLED QUEST|hip-hop|hip-hop
LITTLE MIX|pop|pop
DJ DRAMA|hip-hop|hip-hop
DAYA|pop|pop
USHER|rnb / soul|rnb
LoCASH|classic|classic
THE GAME|hip-hop|rap
DAE DAE|hip-hop|hip-hop
BEYONCE|rnb / soul|rnb
COLDPLAY|rock|rock
TOVE LO|pop|pop
MARC E. BASSY|us|us
MACHINE GUN KELLY|hip-hop|hip-hop
SCHOOLBOY Q|hip-hop|hip-hop
WILLIAM MICHAEL MORGAN|country / folk|country
GRACE|electronic|trance
ONEREPUBLIC|rock|rock
SOLANGE|rnb / soul|rnb
CL|pop|k-pop
MIKE POSNER|rnb / soul|rnb
LUKAS GRAHAM|pop|pop
SKRILLEX|electronic|dubstep
KENT JONES|hip-hop|hip hop
DNCE|pop|pop
JUSTIN BIEBER|pop|pop
MADEINTYO|hip-hop|hip hop
JACOB SARTORIUS|hick-hop|hick-hop
GALANTIS|electronic|house
JAMES BAY|country / folk|folk
FAT JOE & REMY MA|hip-hop|rap
NICK JONAS|pop|pop
FETTY WAP|hip-hop|hip-hop
FLO RIDA|hip-hop|hip-hop
BEN RECTOR|country / folk|singer-songwriter
GUCCI MANE|hip-hop|hip-hop
RUTH B|pop|pop
ZARA LARSSON|pop|pop
FERGIE|pop|pop
DAVID NAIL|country / folk|country
THE LUMINEERS|country / folk|folk
DREEZY|hip-hop|hip-hop
G-EAZY|hip-hop|hip-hop
JENNIFER LOPEZ|pop|pop
BLINK-182|rock|punk rock
CARLOS VIVES|latin|latin
O.T. GENASIS|hip-hop|hip-hop
JEREMIH|rnb / soul|rnb
DISTURBED|rock|metal
KANYE WEST|hip-hop|hip-hop
RED HOT CHILI PEPPERS|rock|rock
BELLY|rock|alternative
ALAN WALKER|electronic|electronic
MIKE WILL MADE-IT|hip-hop|hip-hop
YOUNG GREATNESS|hip-hop|hip-hop
GHOST TOWN DJ'S|rnb / soul|rnb
ADAM WAKEFIELD|country / folk|country
HANNAH HUSTON|pop|pop
ALISAN PORTER|country / folk|country
KID INK|hip-hop|hip-hop
ZEDD|electronic|electronic
PRINCE AND THE REVOLUTION|rnb / soul|funk
PRINCE|rnb / soul|funk
DRAKE & FUTURE|hip-hop|hip-hop
TY DOLLA $IGN|hip-hop|rap
JONAS BLUE|electronic|electronic
ROBIN SCHULZ|electronic|electronic
RACHEL PLATTEN|pop|pop
SHAWN MENDES|pop|pop
ELLIE GOULDING|pop|female vocalists
GWEN STEFANI|pop|pop
ELLE KING|pop|indie pop
ZENDAYA|pop|pop
RANDY HOUSER|country / folk|country
TRAVI$ SCOTT|hip-hop|hip-hop
MAJOR LAZER|seen live|seen live
ONE DIRECTION|pop|pop
EMPIRE OF THE SUN|electronic|electronic
TORI KELLY|pop|pop
LOCASH|classic|classic
MARK RONSON|rnb / soul|funk
FALL OUT BOY|pop|pop punk
DLOW|chicago|chicago
DAWIN|hip-hop|hip-hop
SILENTO|hip-hop|hip-hop
NELLY|hip-hop|hip-hop
CHASE RICE|country / folk|country
JANA KRAMER|country / folk|country
CURREN$Y|hip-hop|hip-hop
R. CITY|rnb / soul|rnb
RUDIMENTAL|seen live|seen live
ILOVEMEMPHIS|crunk|crunk
J BALVIN|mierda|mierda
DAVID BOWIE|rock|rock
QUEEN & DAVID BOWIE|rock|classic rock
SKRILLEX & DIPLO|electronic|dubstep
MACKLEMORE & RYAN LEWIS|hip-hop|hip-hop
CAM|trip-hop|trip-hop
LINDSEY STIRLING|violin|violin
JORDAN SMITH|seen live|seen live
OMI|reggae|reggae
JORDAN SMITH|seen live|seen live
PARMALEE|rock|alternative rock
CALVIN HARRIS & DISCIPLES|party|party
BARRETT BABER|country / folk|country
PSY|pop|k-pop
MADI DAVIS|american|american
K CAMP|hip-hop|hip-hop
JESS GLYNNE|pop|pop
MICHAEL JACKSON|pop|pop
LIL WAYNE|hip-hop|rap
RICH HOMIE QUAN|hip-hop|hip-hop
NICKY JAM|reggaeton|reggaeton
MADDIE & TAE|country / folk|country
THE 1975|rock|indie
ANDREW McMAHON IN THE WILDERNESS|rock|piano rock
ADAM LAMBERT|pop|pop
A GREAT BIG WORLD|rock|indie
JIDENNA|rnb / soul|rnb
NAUGHTY BOY|rnb / soul|rnb
OMARION|rnb / soul|rnb
ZEDD|electronic|electronic
DOVE CAMERON|disney|disney
PIA MIA|pop|pop
DISCLOSURE|electronic|electronic
FRANKIE BALLARD|country / folk|country
T-WAYNE|hip-hop|hip hop
N.W.A.|hip-hop|hip-hop
EAZY-E|hip-hop|rap
DJ SNAKE|hip-hop|trap
DOVE CAMERON|disney|disney
CANAAN SMITH|country / folk|country
JANET|swedish|swedish
BEA MILLER|pop|pop
ECHOSMITH|rock|indie
JANELLE MONAE|rnb / soul|soul
PRINCE ROYCE|bachata|bachata
NATALIE LA ROSE|pop|pop
CARLY RAE JEPSEN|pop|pop
TECH N9NE|hip-hop|rap
STEVEN TYLER|rock|rock
A THOUSAND HORSES|rock|rock
NEEDTOBREATH|rock|rock
GEORGE EZRA|rock|indie
JESSIE J|pop|pop
SHAGGY|reggae|reggae
MADONNA|pop|pop
BRITNEY SPEARS & IGGY AZALEA|britney spears|britney spears
HILARY DUFF|pop|pop
MUMFORD & SONS|country / folk|folk
CHEDDA DA CONNECT|hip-hop|hip-hop
BANDIT GANG MARCO|hip-hop|hip-hop
PITBULL & NE-YO|hip-hop|hip-hop
HOW I BECAME THE BOMB|seen live|seen live
RIHANNA|pop|pop
JAMIE FOXX|rnb / soul|rnb
DILLON FRANCIS & DJ SNAKE|hip-hop|trap
SAWYER FREDERICKS|country / folk|folk
HOZIER|rock|blues
CHRIS BROWN & TYGA|hip-hop|hip-hop
MEGHAN LINSEY|country / folk|country
ERIC PASLAY|country / folk|country
TYLER FARR|country / folk|country
SHEPPARD|rock|indie
NATE RUESS|rock|indie
NICK FRADIANI|american idol|american idol
VANCE JOY|country / folk|folk
KORYN HAWTHORNE|american|american
KID INK|hip-hop|hip-hop
LUNCHMONEY LEWIS|hip-hop|hip-hop
KIMBERLY NICHOLE|electronica|electronica
WIZ KHALIFA|hip-hop|hip-hop
LUDACRIS|hip-hop|rap
WHO IS FANCY|pop|pop
NE-YO|rnb / soul|rnb
BREAKING BENJAMIN|rock|alternative rock
ACTION BRONSON|hip-hop|hip-hop
EMPIRE CAST|soundtrack|soundtrack
JAMES NEWTON HOWARD|soundtrack|soundtrack
ELLA HENDERSON|pop|pop
ARIANA GRANDE & THE WEEKND|pop|pop
CASHMERE CAT|electronic|electronic
B.O.B|hip-hop|hip-hop
COMMON|hip-hop|hip-hop
JESSIE J, ARIANA GRANDE & NICKI MINAJ|pop|pop
KID ROCK|rock|rock
I LOVE MAKONNEN|hip-hop|hip-hop
FLORENCE + THE MACHINE|rock|indie
ALESSO|electronic|house
ANNIE LENNOX|pop|female vocalists
MISSY "MISDEMEANOR" ELLIOTT|hip-hop|hip-hop
MR. PROBZ|hip-hop|hip-hop
RAELYNN|country / folk|country
MAGIC!|reggae|reggae
HOODIE ALLEN|hip-hop|hip-hop
BOBBY SHMURDA|hip-hop|hip-hop
AUGUST ALSINA|hip-hop|hip-hop
MILKY CHANCE|rock|indie
SOPHIA GRACE|pop|pop
I PREVAIL|post-hardcore|post-hardcore
RICH GANG|hip-hop|hip-hop
COLBIE CAILLAT|pop|female vocalists
NICO & VINZ|pop|pop
CHARLI XCX|pop|synthpop
JUICY J|hip-hop|hip-hop
MATT McANDREW|the voice|the voice
CRAIG WAYNE BOYD|country / folk|country
CHRIS JAMISON|pop|pop
T.I.|hip-hop|hip-hop
CHRIS JAMISON|pop|pop
DAMIEN|rock|heavy metal
MATT McANDREW|the voice|the voice
THE WHITE BUFFALO & THE FOREST RANGERS|country / folk|country
BIG & RICH|country / folk|country
TAYLOR JOHN WILLIAMS|the voice|the voice
PHARRELL WILLIAMS|hip-hop|hip-hop
BAND AID 30|pop|pop
THE SCRIPT|rock|pop rock
SNOOTIE WILD|hip-hop|hip-hop
MARY LAMBERT|acoustic|acoustic
OK GO|rock|indie
KIESZA|pop|pop
OG MACO|hip-hop|hip-hop
TINASHE|rnb / soul|rnb
JIMMY FALLON|comedy|comedy
GLEN CAMPBELL|country / folk|country
TEEFLII|california|california
THE SWON BROTHERS|the voice|the voice
MIRANDA LAMBERT duet with CARRIE UNDERWOOD|country / folk|country
LIL JON|crunk|crunk
ALT-J|rock|indie
ELI YOUNG BAND|country / folk|country
MICHAEL JACKSON & JUSTIN TIMBERLAKE|pop|pop
JEEZY|hip-hop|rap
DJ SNAKE & LIL JON|hip-hop|trap
JOE NICHOLS|country / folk|country
STEVE AOKI|electronic|electronic
RITA ORA|pop|pop
KONGOS|rock|rock
INGRID MICHAELSON|pop|female vocalists
TIESTO|electronic|trance
MKTO|pop|pop
BASTILLE|rock|indie
RIXTON|pop|pop
JACK & JACK|hip-hop|hip-hop
WEIRD AL YANKOVIC|comedy|comedy
AMERICAN AUTHORS|rock|indie
YOUNG MONEY|hip-hop|hip-hop
CA$H OUT|hip-hop|rap
IDINA MENZEL|broadway|broadway
GEORGE STRAIT|country / folk|country
THE BAND PERRY|country / folk|country
BUSTA RHYMES|hip-hop|hip-hop
CRAIG CAMPBELL|country / folk|country
AFROJACK|electronic|house
ROBIN THICKE|rnb / soul|soul
JAMIE N COMMONS|rock|blues
CHRISTINA PERRI|pop|female vocalists
NEON TREES|rock|indie
SARA BAREILLES|pop|female vocalists
PHILLIP PHILLIPS|country / folk|folk
AUSTIN MAHONE|pop|pop
JAY Z|hip-hop|hip-hop
PASSENGER|country / folk|folk
CHRISTINA GRIMMIE|pop|pop
CHRISTINA GRIMMIE|pop|pop
JERROD NIEMANN|country / folk|country
THE BLACK KEYS|rock|blues rock
JAKE WORTHINGTON|country / folk|country
CRAIG MORGAN|country / folk|country
ALOE BLACC|rnb / soul|soul
JOSH KAUFMAN|rnb / soul|soul
HUNTER HAYES|country / folk|country
PHARRELL|hip-hop|hip-hop
KRISTEN BELL & IDINA MENZEL|soundtrack|soundtrack
KATY TIZ|pop|pop
KRISTEN BELL|veronica mars|veronica mars
ARCTIC MONKEYS|rock|indie rock
HILLSONG UNITED|christian|christian
SOMO|pop|pop
WILL.I.AM|hip-hop|hip-hop
SARA EVANS|country / folk|country
CASH CASH|pop|powerpop
T-PAIN|rnb / soul|rnb
KRISTEN BELL|veronica mars|veronica mars
THOMPSON SQUARE|country / folk|country
JOHN NEWMAN|rnb / soul|soul
K. MICHELLE|rnb / soul|rnb
SOKO|rock|indie
AWOLNATION|electronic|electronic
U2|rock|rock
RICO LOVE|rnb / soul|rnb
DAUGHTRY|rock|rock
THE FRAY|rock|alternative
TEGAN AND SARA|rock|indie
DANIELLE BRADBERY|country / folk|country
CAPITAL CITIES|electronic|electronic
THE NEIGHBOURHOOD|rock|indie
SEVYN STREETER|rnb / soul|rnb
KACEY MUSGRAVES|country / folk|country
KEITH URBAN & MIRANDA LAMBERT|country / folk|country
CASSADEE POPE|rock|pop rock
LUCY HALE|pop|female vocalists
YLVIS|pop|pop
JUICY J|hip-hop|hip-hop
LUPE FIASCO|hip-hop|hip-hop
MAEJOR ALI|hip-hop|rap
TESSANNE CHIN|reggae|reggae
TESSANNE CHIN|reggae|reggae
REBECCA BLACK|fun fun fun fun|fun fun fun fun
LEA MICHELE|glee|glee
JACQUIE LEE|pop|pop
R. KELLY|rnb / soul|rnb
TAMAR BRAXTON|rnb / soul|rnb
WILL CHAMPLIN|the voice|the voice
ENYA|new age|new age
MATTHEW SCHULER|the voice|the voice
TRAVIE McCOY|hip-hop|hip-hop
BON JOVI|rock|rock
JAMES WOLPERT|pop|pop
DAFT PUNK|electronic|electronic
PINK|pop|pop
ANNA KENDRICK|pop|pop
TYGA|hip-hop|hip-hop
GAVIN DeGRAW|country / folk|singer-songwriter
ALISON GOLD|noise|noise
PEARL JAM|rock|grunge
GLEE CAST|musical|musical
BONNIE McKEE|pop|pop
LINKIN PARK vs STEVE AOKI|electronic|dubstep
CHARLIE WORSHAM|country / folk|country
ARMIN VAN BUUREN|electronic|trance
SHERYL CROW|pop|female vocalists
THE FINATTICZ|hip-hop|hip hop
J. DASH|usa|usa
LABRINTH|electronic|electronic
MIKA|pop|pop
ARCADE FIRE|rock|indie
MARC ANTHONY|salsa|salsa
